"","Month","ATC2","Cost","Concession","Type","ATC1"
"389",2006 Nov,"H02",572833,"Concessional","Safety net","H"
"390",2006 Dec,"H02",633804,"Concessional","Safety net","H"
"391",2007 Jan,"H02",697038,"Concessional","Safety net","H"
"392",2007 Feb,"H02",34013,"Concessional","Safety net","H"
"393",2007 Mar,"H02",8729,"Concessional","Safety net","H"
"394",2007 Apr,"H02",14224,"Concessional","Safety net","H"
"395",2007 May,"H02",56152,"Concessional","Safety net","H"
"396",2007 Jun,"H02",127754,"Concessional","Safety net","H"
"397",2007 Jul,"H02",234830,"Concessional","Safety net","H"
"398",2007 Aug,"H02",358358.12,"Concessional","Safety net","H"
"399",2007 Sep,"H02",438567.3,"Concessional","Safety net","H"
"400",2007 Oct,"H02",506806.64,"Concessional","Safety net","H"
"401",2007 Nov,"H02",606793.21,"Concessional","Safety net","H"
"402",2007 Dec,"H02",663962,"Concessional","Safety net","H"
"403",2008 Jan,"H02",712647,"Concessional","Safety net","H"
"404",2008 Feb,"H02",81152,"Concessional","Safety net","H"
"405",2008 Mar,"H02",12024,"Concessional","Safety net","H"
"406",2008 Apr,"H02",17124,"Concessional","Safety net","H"
"407",2008 May,"H02",58219,"Concessional","Safety net","H"
"408",2008 Jun,"H02",99926,"Concessional","Safety net","H"
"409",1991 Jul,"H02",20178,"General","Co-payments","H"
"410",1991 Aug,"H02",16519,"General","Co-payments","H"
"411",1991 Sep,"H02",14852,"General","Co-payments","H"
"412",1991 Oct,"H02",16867,"General","Co-payments","H"
"413",1991 Nov,"H02",14849,"General","Co-payments","H"
"414",1991 Dec,"H02",15689,"General","Co-payments","H"
"415",1992 Jan,"H02",13809,"General","Co-payments","H"
"416",1992 Feb,"H02",16269,"General","Co-payments","H"
"417",1992 Mar,"H02",19918,"General","Co-payments","H"
"418",1992 Apr,"H02",18546,"General","Co-payments","H"
"419",1992 May,"H02",17313,"General","Co-payments","H"
"420",1992 Jun,"H02",16379,"General","Co-payments","H"
"421",1992 Jul,"H02",19056.29,"General","Co-payments","H"
"422",1992 Aug,"H02",16643.87,"General","Co-payments","H"
"423",1992 Sep,"H02",15207.62,"General","Co-payments","H"
"424",1992 Oct,"H02",17005.55,"General","Co-payments","H"
"425",1992 Nov,"H02",14166.49,"General","Co-payments","H"
"426",1992 Dec,"H02",16521.87,"General","Co-payments","H"
"427",1993 Jan,"H02",13327.08,"General","Co-payments","H"
"428",1993 Feb,"H02",14865.84,"General","Co-payments","H"
"429",1993 Mar,"H02",22464.93,"General","Co-payments","H"
"430",1993 Apr,"H02",19092.38,"General","Co-payments","H"
"431",1993 May,"H02",16662.91,"General","Co-payments","H"
"432",1993 Jun,"H02",15913.83,"General","Co-payments","H"
"433",1993 Jul,"H02",15537.48,"General","Co-payments","H"
"434",1993 Aug,"H02",16101.9,"General","Co-payments","H"
"435",1993 Sep,"H02",13921.37,"General","Co-payments","H"
"436",1993 Oct,"H02",17235.35,"General","Co-payments","H"
"437",1993 Nov,"H02",19925.5,"General","Co-payments","H"
"438",1993 Dec,"H02",22493.21,"General","Co-payments","H"
"439",1994 Jan,"H02",16770.26,"General","Co-payments","H"
"440",1994 Feb,"H02",17864.02,"General","Co-payments","H"
"441",1994 Mar,"H02",27907.57,"General","Co-payments","H"
"442",1994 Apr,"H02",23576.5,"General","Co-payments","H"
"443",1994 May,"H02",22830.08,"General","Co-payments","H"
"444",1994 Jun,"H02",23061.4,"General","Co-payments","H"
"445",1994 Jul,"H02",22366.63,"General","Co-payments","H"
"446",1994 Aug,"H02",23463.25,"General","Co-payments","H"
"447",1994 Sep,"H02",28275.42,"General","Co-payments","H"
"448",1994 Oct,"H02",22691.43,"General","Co-payments","H"
"449",1994 Nov,"H02",22100.07,"General","Co-payments","H"
"450",1994 Dec,"H02",25815.46,"General","Co-payments","H"
"451",1995 Jan,"H02",21504.92,"General","Co-payments","H"
"452",1995 Feb,"H02",22451.36,"General","Co-payments","H"
"453",1995 Mar,"H02",30381.05,"General","Co-payments","H"
"454",1995 Apr,"H02",25797.76,"General","Co-payments","H"
"455",1995 May,"H02",23382.74,"General","Co-payments","H"
"456",1995 Jun,"H02",23296.45,"General","Co-payments","H"
"457",1995 Jul,"H02",21812.65,"General","Co-payments","H"
"458",1995 Aug,"H02",26638.98,"General","Co-payments","H"
"459",1995 Sep,"H02",22751.63,"General","Co-payments","H"
"460",1995 Oct,"H02",23609.12,"General","Co-payments","H"
"461",1995 Nov,"H02",22714.79,"General","Co-payments","H"
"462",1995 Dec,"H02",24053.03,"General","Co-payments","H"
"463",1996 Jan,"H02",20150.69,"General","Co-payments","H"
"464",1996 Feb,"H02",25422.09,"General","Co-payments","H"
"465",1996 Mar,"H02",26266.26,"General","Co-payments","H"
"466",1996 Apr,"H02",24653.7,"General","Co-payments","H"
"467",1996 May,"H02",25794.14,"General","Co-payments","H"
"468",1996 Jun,"H02",23259.68,"General","Co-payments","H"
"469",1996 Jul,"H02",27730.96,"General","Co-payments","H"
"470",1996 Aug,"H02",27783.88,"General","Co-payments","H"
"471",1996 Sep,"H02",24536.12,"General","Co-payments","H"
"472",1996 Oct,"H02",25906.35,"General","Co-payments","H"
"473",1996 Nov,"H02",25014.22,"General","Co-payments","H"
"474",1996 Dec,"H02",30482.18,"General","Co-payments","H"
"475",1997 Jan,"H02",20362.24,"General","Co-payments","H"
"476",1997 Feb,"H02",14911.07,"General","Co-payments","H"
"477",1997 Mar,"H02",13340.47,"General","Co-payments","H"
"478",1997 Apr,"H02",18448.23,"General","Co-payments","H"
"479",1997 May,"H02",17938.94,"General","Co-payments","H"
"480",1997 Jun,"H02",14686.07,"General","Co-payments","H"
"481",1997 Jul,"H02",15535.54,"General","Co-payments","H"
"482",1997 Aug,"H02",14589.91,"General","Co-payments","H"
"483",1997 Sep,"H02",17313.74,"General","Co-payments","H"
"484",1997 Oct,"H02",17116.24,"General","Co-payments","H"
"485",1997 Nov,"H02",15009.22,"General","Co-payments","H"
"486",1997 Dec,"H02",15073.46,"General","Co-payments","H"
"487",1998 Jan,"H02",13837.65,"General","Co-payments","H"
"488",1998 Feb,"H02",14734.37,"General","Co-payments","H"
"489",1998 Mar,"H02",13923.97,"General","Co-payments","H"
"490",1998 Apr,"H02",17776.5,"General","Co-payments","H"
"491",1998 May,"H02",14202.96,"General","Co-payments","H"
"492",1998 Jun,"H02",12102.57,"General","Co-payments","H"
"493",1998 Jul,"H02",19375.72,"General","Co-payments","H"
"494",1998 Aug,"H02",14222.92,"General","Co-payments","H"
"495",1998 Sep,"H02",15430.69,"General","Co-payments","H"
"496",1998 Oct,"H02",11636.46,"General","Co-payments","H"
"497",1998 Nov,"H02",13546.67,"General","Co-payments","H"
"498",1998 Dec,"H02",14508.29,"General","Co-payments","H"
"499",1999 Jan,"H02",12117.65,"General","Co-payments","H"
"500",1999 Feb,"H02",13784.79,"General","Co-payments","H"
"501",1999 Mar,"H02",21057.93,"General","Co-payments","H"
"502",1999 Apr,"H02",17342.29,"General","Co-payments","H"
"503",1999 May,"H02",21388.86,"General","Co-payments","H"
"504",1999 Jun,"H02",12764.59,"General","Co-payments","H"
"505",1999 Jul,"H02",15330.52,"General","Co-payments","H"
"506",1999 Aug,"H02",14495.91,"General","Co-payments","H"
"507",1999 Sep,"H02",12958.74,"General","Co-payments","H"
"508",1999 Oct,"H02",18877.29,"General","Co-payments","H"
"509",1999 Nov,"H02",18215.26,"General","Co-payments","H"
"510",1999 Dec,"H02",21130.47,"General","Co-payments","H"
"511",2000 Jan,"H02",11608.46,"General","Co-payments","H"
"512",2000 Feb,"H02",15498.06,"General","Co-payments","H"
"513",2000 Mar,"H02",16311.12,"General","Co-payments","H"
"514",2000 Apr,"H02",15654.11,"General","Co-payments","H"
"515",2000 May,"H02",16471.81,"General","Co-payments","H"
"516",2000 Jun,"H02",14606.74,"General","Co-payments","H"
"517",2000 Jul,"H02",21816.45,"General","Co-payments","H"
"518",2000 Aug,"H02",18762.6,"General","Co-payments","H"
"519",2000 Sep,"H02",15107.31,"General","Co-payments","H"
"520",2000 Oct,"H02",20757.72,"General","Co-payments","H"
"521",2000 Nov,"H02",17515.99,"General","Co-payments","H"
"522",2000 Dec,"H02",18953.93,"General","Co-payments","H"
"523",2001 Jan,"H02",14586.05,"General","Co-payments","H"
"524",2001 Feb,"H02",13368.47,"General","Co-payments","H"
"525",2001 Mar,"H02",12891.55,"General","Co-payments","H"
"526",2001 Apr,"H02",25255.13,"General","Co-payments","H"
"527",2001 May,"H02",16813.66,"General","Co-payments","H"
"528",2001 Jun,"H02",12907.81,"General","Co-payments","H"
"529",2001 Jul,"H02",16431.06,"General","Co-payments","H"
"530",2001 Aug,"H02",12584.45,"General","Co-payments","H"
"531",2001 Sep,"H02",17899.17,"General","Co-payments","H"
"532",2001 Oct,"H02",19573.53,"General","Co-payments","H"
"533",2001 Nov,"H02",16321.75,"General","Co-payments","H"
"534",2001 Dec,"H02",10492.61,"General","Co-payments","H"
"535",2002 Jan,"H02",19197.26,"General","Co-payments","H"
"536",2002 Feb,"H02",15793.36,"General","Co-payments","H"
"537",2002 Mar,"H02",23929.17,"General","Co-payments","H"
"538",2002 Apr,"H02",18894.38,"General","Co-payments","H"
"539",2002 May,"H02",19762.08,"General","Co-payments","H"
"540",2002 Jun,"H02",12823.36,"General","Co-payments","H"
"541",2002 Jul,"H02",16974.24,"General","Co-payments","H"
"542",2002 Aug,"H02",13545.78,"General","Co-payments","H"
"543",2002 Sep,"H02",15590.96,"General","Co-payments","H"
"544",2002 Oct,"H02",11018.1,"General","Co-payments","H"
"545",2002 Nov,"H02",13412.44,"General","Co-payments","H"
"546",2002 Dec,"H02",10913.12,"General","Co-payments","H"
"547",2003 Jan,"H02",9020.48,"General","Co-payments","H"
"548",2003 Feb,"H02",13608.12,"General","Co-payments","H"
"549",2003 Mar,"H02",12952.06,"General","Co-payments","H"
"550",2003 Apr,"H02",16833.37,"General","Co-payments","H"
"551",2003 May,"H02",13799.66,"General","Co-payments","H"
"552",2003 Jun,"H02",15775.28,"General","Co-payments","H"
"553",2003 Jul,"H02",14961.67,"General","Co-payments","H"
"554",2003 Aug,"H02",11265.37,"General","Co-payments","H"
"555",2003 Sep,"H02",19014.73,"General","Co-payments","H"
"556",2003 Oct,"H02",19961.56,"General","Co-payments","H"
"557",2003 Nov,"H02",14161.8,"General","Co-payments","H"
"558",2003 Dec,"H02",22928.4,"General","Co-payments","H"
"559",2004 Jan,"H02",14240.35,"General","Co-payments","H"
"560",2004 Feb,"H02",16178.8,"General","Co-payments","H"
"561",2004 Mar,"H02",17754.96,"General","Co-payments","H"
"562",2004 Apr,"H02",16275.27,"General","Co-payments","H"
"563",2004 May,"H02",19953.37,"General","Co-payments","H"
"564",2004 Jun,"H02",18093.6,"General","Co-payments","H"
"565",2004 Jul,"H02",27141.3,"General","Co-payments","H"
"566",2004 Aug,"H02",22188.76,"General","Co-payments","H"
"567",2004 Sep,"H02",29564,"General","Co-payments","H"
"568",2004 Oct,"H02",24354,"General","Co-payments","H"
"569",2004 Nov,"H02",24937,"General","Co-payments","H"
"570",2004 Dec,"H02",18364,"General","Co-payments","H"
"571",2005 Jan,"H02",15368,"General","Co-payments","H"
"572",2005 Feb,"H02",17682,"General","Co-payments","H"
"573",2005 Mar,"H02",19653,"General","Co-payments","H"
"574",2005 Apr,"H02",16440,"General","Co-payments","H"
"575",2005 May,"H02",18444,"General","Co-payments","H"
"576",2005 Jun,"H02",16835,"General","Co-payments","H"
"577",2005 Jul,"H02",11305,"General","Co-payments","H"
"578",2005 Aug,"H02",11986,"General","Co-payments","H"
"579",2005 Sep,"H02",15652,"General","Co-payments","H"
"580",2005 Oct,"H02",13160,"General","Co-payments","H"
"581",2005 Nov,"H02",17975,"General","Co-payments","H"
"582",2005 Dec,"H02",16915,"General","Co-payments","H"
"583",2006 Jan,"H02",21784,"General","Co-payments","H"
"584",2006 Feb,"H02",24166,"General","Co-payments","H"
"585",2006 Mar,"H02",20175,"General","Co-payments","H"
"586",2006 Apr,"H02",16433,"General","Co-payments","H"
"587",2006 May,"H02",22186,"General","Co-payments","H"
"588",2006 Jun,"H02",16329,"General","Co-payments","H"
"589",2006 Jul,"H02",16352,"General","Co-payments","H"
"590",2006 Aug,"H02",20273,"General","Co-payments","H"
"591",2006 Sep,"H02",16541,"General","Co-payments","H"
"592",2006 Oct,"H02",19171,"General","Co-payments","H"
"593",2006 Nov,"H02",16596,"General","Co-payments","H"
"594",2006 Dec,"H02",26251,"General","Co-payments","H"
"595",2007 Jan,"H02",18083,"General","Co-payments","H"
"596",2007 Feb,"H02",20368,"General","Co-payments","H"
"597",2007 Mar,"H02",20298,"General","Co-payments","H"
"598",2007 Apr,"H02",11717,"General","Co-payments","H"
"599",2007 May,"H02",13300,"General","Co-payments","H"
"600",2007 Jun,"H02",20884,"General","Co-payments","H"
"601",2007 Jul,"H02",24548,"General","Co-payments","H"
"602",2007 Aug,"H02",16732.16,"General","Co-payments","H"
"603",2007 Sep,"H02",28833.13,"General","Co-payments","H"
"604",2007 Oct,"H02",34718.67,"General","Co-payments","H"
"605",2007 Nov,"H02",13201.91,"General","Co-payments","H"
"606",2007 Dec,"H02",20703,"General","Co-payments","H"
"607",2008 Jan,"H02",23177,"General","Co-payments","H"
"608",2008 Feb,"H02",32314,"General","Co-payments","H"
"609",2008 Mar,"H02",25530,"General","Co-payments","H"
"610",2008 Apr,"H02",39605,"General","Co-payments","H"
"611",2008 May,"H02",20470,"General","Co-payments","H"
"612",2008 Jun,"H02",21088,"General","Co-payments","H"
"613",1991 Jul,"H02",9304,"General","Safety net","H"
"614",1991 Aug,"H02",13894,"General","Safety net","H"
"615",1991 Sep,"H02",18704,"General","Safety net","H"
"616",1991 Oct,"H02",27326,"General","Safety net","H"
"617",1991 Nov,"H02",30924,"General","Safety net","H"
"618",1991 Dec,"H02",49422,"General","Safety net","H"
"619",1992 Jan,"H02",117247,"General","Safety net","H"
"620",1992 Feb,"H02",13106,"General","Safety net","H"
"621",1992 Mar,"H02",970,"General","Safety net","H"
"622",1992 Apr,"H02",1080,"General","Safety net","H"
"623",1992 May,"H02",1189,"General","Safety net","H"
"624",1992 Jun,"H02",15793,"General","Safety net","H"
"625",1992 Jul,"H02",24992.45,"General","Safety net","H"
"626",1992 Aug,"H02",30490.29,"General","Safety net","H"
"627",1992 Sep,"H02",56853.23,"General","Safety net","H"
"628",1992 Oct,"H02",73077.64,"General","Safety net","H"
"629",1992 Nov,"H02",83855.49,"General","Safety net","H"
"630",1992 Dec,"H02",138078.48,"General","Safety net","H"
"631",1993 Jan,"H02",177050.85,"General","Safety net","H"
"632",1993 Feb,"H02",23782.32,"General","Safety net","H"
"633",1993 Mar,"H02",3510.39,"General","Safety net","H"
"634",1993 Apr,"H02",4829.35,"General","Safety net","H"
"635",1993 May,"H02",10240.08,"General","Safety net","H"
"636",1993 Jun,"H02",23836.33,"General","Safety net","H"
"637",1993 Jul,"H02",32148.16,"General","Safety net","H"
"638",1993 Aug,"H02",47866.77,"General","Safety net","H"
"639",1993 Sep,"H02",66703.82,"General","Safety net","H"
"640",1993 Oct,"H02",78758,"General","Safety net","H"
"641",1993 Nov,"H02",99785.83,"General","Safety net","H"
"642",1993 Dec,"H02",167339.57,"General","Safety net","H"
"643",1994 Jan,"H02",185233.72,"General","Safety net","H"
"644",1994 Feb,"H02",21037.88,"General","Safety net","H"
"645",1994 Mar,"H02",2709.15,"General","Safety net","H"
"646",1994 Apr,"H02",2550.19,"General","Safety net","H"
"647",1994 May,"H02",6544.99,"General","Safety net","H"
"648",1994 Jun,"H02",10338.45,"General","Safety net","H"
"649",1994 Jul,"H02",19270.08,"General","Safety net","H"
"650",1994 Aug,"H02",30923.14,"General","Safety net","H"
"651",1994 Sep,"H02",44554.49,"General","Safety net","H"
"652",1994 Oct,"H02",49729.86,"General","Safety net","H"
"653",1994 Nov,"H02",65375.45,"General","Safety net","H"
"654",1994 Dec,"H02",83128.86,"General","Safety net","H"
"655",1995 Jan,"H02",101100.04,"General","Safety net","H"
"656",1995 Feb,"H02",8737.25,"General","Safety net","H"
"657",1995 Mar,"H02",1629.52,"General","Safety net","H"
"658",1995 Apr,"H02",2763.4,"General","Safety net","H"
"659",1995 May,"H02",8276.95,"General","Safety net","H"
"660",1995 Jun,"H02",16149.71,"General","Safety net","H"
"661",1995 Jul,"H02",24263.79,"General","Safety net","H"
"662",1995 Aug,"H02",39804.08,"General","Safety net","H"
"663",1995 Sep,"H02",48516.84,"General","Safety net","H"
"664",1995 Oct,"H02",65088.11,"General","Safety net","H"
"665",1995 Nov,"H02",75424.43,"General","Safety net","H"
"666",1995 Dec,"H02",100519.2,"General","Safety net","H"
"667",1996 Jan,"H02",123278.54,"General","Safety net","H"
"668",1996 Feb,"H02",8701.8,"General","Safety net","H"
"669",1996 Mar,"H02",1153.66,"General","Safety net","H"
"670",1996 Apr,"H02",1727.69,"General","Safety net","H"
"671",1996 May,"H02",4298.49,"General","Safety net","H"
"672",1996 Jun,"H02",6437.38,"General","Safety net","H"
"673",1996 Jul,"H02",12381.52,"General","Safety net","H"
"674",1996 Aug,"H02",21560.15,"General","Safety net","H"
"675",1996 Sep,"H02",26302.19,"General","Safety net","H"
"676",1996 Oct,"H02",36378.91,"General","Safety net","H"
"677",1996 Nov,"H02",42972.13,"General","Safety net","H"
"678",1996 Dec,"H02",64556.56,"General","Safety net","H"
"679",1997 Jan,"H02",73108.36,"General","Safety net","H"
"680",1997 Feb,"H02",5737.72,"General","Safety net","H"
"681",1997 Mar,"H02",1227.81,"General","Safety net","H"
"682",1997 Apr,"H02",1854.17,"General","Safety net","H"
"683",1997 May,"H02",3504.14,"General","Safety net","H"
"684",1997 Jun,"H02",10045.78,"General","Safety net","H"
"685",1997 Jul,"H02",16858.18,"General","Safety net","H"
"686",1997 Aug,"H02",22412.7,"General","Safety net","H"
"687",1997 Sep,"H02",35436.65,"General","Safety net","H"
"688",1997 Oct,"H02",44304.94,"General","Safety net","H"
"689",1997 Nov,"H02",50396.11,"General","Safety net","H"
"690",1997 Dec,"H02",76700.88,"General","Safety net","H"
"691",1998 Jan,"H02",74963.74,"General","Safety net","H"
"692",1998 Feb,"H02",6496.49,"General","Safety net","H"
"693",1998 Mar,"H02",1687.23,"General","Safety net","H"
"694",1998 Apr,"H02",1775.24,"General","Safety net","H"
"695",1998 May,"H02",4301.83,"General","Safety net","H"
"696",1998 Jun,"H02",8895.07,"General","Safety net","H"
"697",1998 Jul,"H02",15612.22,"General","Safety net","H"
"698",1998 Aug,"H02",23649.33,"General","Safety net","H"
"699",1998 Sep,"H02",35770.82,"General","Safety net","H"
"700",1998 Oct,"H02",41672.17,"General","Safety net","H"
"701",1998 Nov,"H02",51577.04,"General","Safety net","H"
"702",1998 Dec,"H02",73875.29,"General","Safety net","H"
"703",1999 Jan,"H02",85476.9,"General","Safety net","H"
"704",1999 Feb,"H02",8460.83,"General","Safety net","H"
"705",1999 Mar,"H02",2334.64,"General","Safety net","H"
"706",1999 Apr,"H02",1757.78,"General","Safety net","H"
"707",1999 May,"H02",6229.23,"General","Safety net","H"
"708",1999 Jun,"H02",9835,"General","Safety net","H"
"709",1999 Jul,"H02",14616.16,"General","Safety net","H"
"710",1999 Aug,"H02",24927.6,"General","Safety net","H"
"711",1999 Sep,"H02",33966.49,"General","Safety net","H"
"712",1999 Oct,"H02",41527.13,"General","Safety net","H"
"713",1999 Nov,"H02",51196.82,"General","Safety net","H"
"714",1999 Dec,"H02",65568.93,"General","Safety net","H"
"715",2000 Jan,"H02",76911.1,"General","Safety net","H"
"716",2000 Feb,"H02",9159.07,"General","Safety net","H"
"717",2000 Mar,"H02",1138.32,"General","Safety net","H"
"718",2000 Apr,"H02",3132.18,"General","Safety net","H"
"719",2000 May,"H02",3971.31,"General","Safety net","H"
"720",2000 Jun,"H02",8564.82,"General","Safety net","H"
"721",2000 Jul,"H02",17438.59,"General","Safety net","H"
"722",2000 Aug,"H02",24973.44,"General","Safety net","H"
"723",2000 Sep,"H02",29745.5,"General","Safety net","H"
"724",2000 Oct,"H02",42397.36,"General","Safety net","H"
"725",2000 Nov,"H02",50116.18,"General","Safety net","H"
"726",2000 Dec,"H02",68050.59,"General","Safety net","H"
"727",2001 Jan,"H02",82481.4,"General","Safety net","H"
"728",2001 Feb,"H02",4522.29,"General","Safety net","H"
"729",2001 Mar,"H02",1543.28,"General","Safety net","H"
"730",2001 Apr,"H02",2338.08,"General","Safety net","H"
"731",2001 May,"H02",4948.15,"General","Safety net","H"
"732",2001 Jun,"H02",10288.82,"General","Safety net","H"
"733",2001 Jul,"H02",21084.19,"General","Safety net","H"
"734",2001 Aug,"H02",32378.21,"General","Safety net","H"
"735",2001 Sep,"H02",34237.82,"General","Safety net","H"
"736",2001 Oct,"H02",51822.61,"General","Safety net","H"
"737",2001 Nov,"H02",63256.58,"General","Safety net","H"
"738",2001 Dec,"H02",66410.24,"General","Safety net","H"
"739",2002 Jan,"H02",89243.65,"General","Safety net","H"
"740",2002 Feb,"H02",3397.92,"General","Safety net","H"
"741",2002 Mar,"H02",1204.03,"General","Safety net","H"
"742",2002 Apr,"H02",3128.87,"General","Safety net","H"
"743",2002 May,"H02",7174.49,"General","Safety net","H"
"744",2002 Jun,"H02",13551.26,"General","Safety net","H"
"745",2002 Jul,"H02",22609.41,"General","Safety net","H"
"746",2002 Aug,"H02",33721.08,"General","Safety net","H"
"747",2002 Sep,"H02",48173.65,"General","Safety net","H"
"748",2002 Oct,"H02",52000.55,"General","Safety net","H"
"749",2002 Nov,"H02",62047.68,"General","Safety net","H"
"750",2002 Dec,"H02",74683.4,"General","Safety net","H"
"751",2003 Jan,"H02",84640.91,"General","Safety net","H"
"752",2003 Feb,"H02",4621.8,"General","Safety net","H"
"753",2003 Mar,"H02",1414.84,"General","Safety net","H"
"754",2003 Apr,"H02",4568.74,"General","Safety net","H"
"755",2003 May,"H02",8679.76,"General","Safety net","H"
"756",2003 Jun,"H02",13910.32,"General","Safety net","H"
"757",2003 Jul,"H02",23469.8,"General","Safety net","H"
"758",2003 Aug,"H02",32411.69,"General","Safety net","H"
"759",2003 Sep,"H02",48792.32,"General","Safety net","H"
"760",2003 Oct,"H02",61960.92,"General","Safety net","H"
"761",2003 Nov,"H02",64102.95,"General","Safety net","H"
"762",2003 Dec,"H02",84734.25,"General","Safety net","H"
"763",2004 Jan,"H02",92022.54,"General","Safety net","H"
"764",2004 Feb,"H02",8416.1,"General","Safety net","H"
"765",2004 Mar,"H02",1972.67,"General","Safety net","H"
"766",2004 Apr,"H02",4107.44,"General","Safety net","H"
"767",2004 May,"H02",8583.05,"General","Safety net","H"
"768",2004 Jun,"H02",15914.81,"General","Safety net","H"
"769",2004 Jul,"H02",32190.47,"General","Safety net","H"
"770",2004 Aug,"H02",38641.76,"General","Safety net","H"
"771",2004 Sep,"H02",58973,"General","Safety net","H"
"772",2004 Oct,"H02",67761,"General","Safety net","H"
"773",2004 Nov,"H02",79994,"General","Safety net","H"
"774",2004 Dec,"H02",97317,"General","Safety net","H"
"775",2005 Jan,"H02",98395,"General","Safety net","H"
"776",2005 Feb,"H02",6395,"General","Safety net","H"
"777",2005 Mar,"H02",2065,"General","Safety net","H"
"778",2005 Apr,"H02",4120,"General","Safety net","H"
"779",2005 May,"H02",6189,"General","Safety net","H"
"780",2005 Jun,"H02",12472,"General","Safety net","H"
"781",2005 Jul,"H02",22437,"General","Safety net","H"
"782",2005 Aug,"H02",34474,"General","Safety net","H"
"783",2005 Sep,"H02",50588,"General","Safety net","H"
"784",2005 Oct,"H02",51587,"General","Safety net","H"
"785",2005 Nov,"H02",64883,"General","Safety net","H"
"786",2005 Dec,"H02",75849,"General","Safety net","H"
"787",2006 Jan,"H02",96845,"General","Safety net","H"
"788",2006 Feb,"H02",4193,"General","Safety net","H"
"789",2006 Mar,"H02",1490,"General","Safety net","H"
"790",2006 Apr,"H02",2327,"General","Safety net","H"
"791",2006 May,"H02",7851,"General","Safety net","H"
"792",2006 Jun,"H02",9832,"General","Safety net","H"
"793",2006 Jul,"H02",18185,"General","Safety net","H"
"794",2006 Aug,"H02",33159,"General","Safety net","H"
"795",2006 Sep,"H02",40407,"General","Safety net","H"
"796",2006 Oct,"H02",55479,"General","Safety net","H"
"797",2006 Nov,"H02",65749,"General","Safety net","H"
"798",2006 Dec,"H02",71618,"General","Safety net","H"
"799",2007 Jan,"H02",89074,"General","Safety net","H"
"800",2007 Feb,"H02",7401,"General","Safety net","H"
"801",2007 Mar,"H02",2533,"General","Safety net","H"
"802",2007 Apr,"H02",1347,"General","Safety net","H"
"803",2007 May,"H02",7739,"General","Safety net","H"
"804",2007 Jun,"H02",13501,"General","Safety net","H"
"805",2007 Jul,"H02",19837,"General","Safety net","H"
"806",2007 Aug,"H02",29682.83,"General","Safety net","H"
"807",2007 Sep,"H02",44937.65,"General","Safety net","H"
"808",2007 Oct,"H02",50382.26,"General","Safety net","H"
"809",2007 Nov,"H02",60821.85,"General","Safety net","H"
"810",2007 Dec,"H02",74361,"General","Safety net","H"
"811",2008 Jan,"H02",87799,"General","Safety net","H"
"812",2008 Feb,"H02",11564,"General","Safety net","H"
"813",2008 Mar,"H02",1719,"General","Safety net","H"
"814",2008 Apr,"H02",3883,"General","Safety net","H"
"815",2008 May,"H02",4594,"General","Safety net","H"
"816",2008 Jun,"H02",9297,"General","Safety net","H"
